No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Volume,Industry,Sector,Net Income,FCF,Net Cash,Rev. Growth
1,AAPL,Apple Inc.,"3,273.31B",217.90,-2.66%,395.76B,"39,525,987",Consumer Electronics,Technology,2.61%,96.15B,98.30B,44.57B
2,MSFT,Microsoft Corporation,"2,815.99B",378.80,-3.02%,261.80B,"21,502,861",Software - Infrastructure,Technology,15.04%,92.75B,70.03B,-31.35B
3,NVDA,NVIDIA Corporation,"2,675.95B",109.67,-1.58%,130.50B,"227,835,915",Semiconductors,Technology,114.20%,72.88B,60.85B,32.94B
4,AMZN,"Amazon.com, Inc.","2,042.39B",192.72,-4.29%,637.96B,"52,146,679",Internet Retail,Consumer Discretionary,10.99%,59.25B,32.88B,-54.20B
5,GOOG,Alphabet Inc.,"1,890.79B",156.06,-4.89%,350.02B,"34,786,595",Internet Content & Information,Communication Services,13.87%,100.12B,72.76B,67.52B
6,GOOGL,Alphabet Inc.,"1,881.28B",154.33,-4.88%,350.02B,"47,599,600",Internet Content & Information,Communication Services,13.87%,100.12B,72.76B,67.52B
7,META,"Meta Platforms, Inc.","1,461.26B",576.74,-4.29%,164.50B,"17,230,830",Internet Content & Information,Communication Services,21.94%,62.36B,54.07B,28.05B
8,TSLA,"Tesla, Inc.",847.71B,263.55,-3.51%,97.69B,"122,381,779",Auto Manufacturers,Consumer Discretionary,0.95%,7.13B,3.58B,22.94B
9,AVGO,Broadcom Inc.,795.19B,169.12,-1.67%,54.53B,"29,377,681",Semiconductors,Technology,40.30%,10.07B,20.73B,-57.27B
10,COST,Costco Wholesale Corporation,412.47B,929.66,-0.97%,264.09B,"2,031,286",Discount Stores,Consumer Staples,6.13%,7.62B,6.93B,5.12B
11,NFLX,"Netflix, Inc.",399.46B,933.85,-4.39%,39.00B,"4,375,097",Entertainment,Communication Services,15.65%,8.71B,6.92B,-8.41B
12,TMUS,"T-Mobile US, Inc.",302.48B,264.93,-1.25%,81.40B,"3,316,057",Telecom Services,Communication Services,3.62%,11.34B,13.45B,-109.55B
13,ASML,ASML Holding N.V.,266.51B,674.58,-2.32%,29.26B,"1,391,263",Semiconductor Equipment & Materials,Technology,2.56%,7.84B,9.90B,7.96B
14,CSCO,"Cisco Systems, Inc.",242.12B,60.86,-0.88%,54.18B,"22,353,237",Communication Equipment,Technology,-5.34%,9.19B,12.81B,-14.78B
15,AZN,AstraZeneca PLC,229.16B,73.79,1.30%,54.07B,"3,264,082",Drug Manufacturers - General,Healthcare,18.04%,7.04B,9.94B,-24.94B
16,LIN,Linde plc,217.12B,459.11,-1.21%,33.01B,"1,334,594",Specialty Chemicals,Materials,0.46%,6.57B,4.93B,-17.76B
17,PEP,"PepsiCo, Inc.",204.72B,149.27,-0.27%,91.85B,"8,510,288",Beverages - Non-Alcoholic,Consumer Staples,0.42%,9.58B,7.19B,-38.49B
18,PLTR,Palantir Technologies Inc.,201.35B,85.85,-4.71%,2.87B,"90,380,791",Software - Infrastructure,Technology,28.79%,462.19M,1.14B,4.99B
19,ISRG,"Intuitive Surgical, Inc.",176.21B,491.84,-3.16%,8.35B,"1,957,777",Medical Instruments & Supplies,Healthcare,17.24%,2.32B,1.30B,3.87B
20,QCOM,QUALCOMM Incorporated,168.82B,152.72,-3.32%,40.70B,"8,915,432",Semiconductors,Technology,12.14%,10.56B,12.74B,-272.00M
21,INTU,Intuit Inc.,167.44B,598.92,-2.66%,17.17B,"1,574,522",Software - Application,Technology,13.73%,3.04B,5.69B,-4.43B
22,PDD,PDD Holdings Inc.,167.28B,120.45,-3.14%,53.96B,"6,949,632",Internet Retail,Consumer Discretionary,59.04%,15.40B,16.79B,43.97B
23,AMD,"Advanced Micro Devices, Inc.",167.27B,103.22,-3.22%,25.79B,"30,943,259",Semiconductors,Technology,13.69%,1.64B,2.41B,2.81B
24,AMGN,Amgen Inc.,164.90B,306.95,0.39%,33.42B,"1,768,321",Drug Manufacturers - General,Healthcare,18.57%,4.09B,10.39B,-48.91B
25,ADBE,Adobe Inc.,164.39B,385.71,-2.64%,22.04B,"3,819,602",Software - Application,Technology,10.54%,6.75B,9.19B,873.00M
26,TXN,Texas Instruments Incorporated,160.45B,176.33,-2.45%,15.64B,"5,490,484",Semiconductors,Technology,-10.72%,4.78B,1.50B,-6.80B
27,BKNG,Booking Holdings Inc.,152.07B,"4,634.24",-2.49%,23.74B,"185,381",Travel Services,Consumer Discretionary,11.11%,5.88B,7.89B,-681.00M
28,GILD,"Gilead Sciences, Inc.",139.22B,111.79,0.57%,28.75B,"7,844,771",Drug Manufacturers - General,Healthcare,6.04%,480.00M,10.31B,-15.75B
29,CMCSA,Comcast Corporation,138.46B,36.62,-2.01%,123.73B,"23,322,971",Telecom Services,Communication Services,1.78%,16.19B,15.38B,-98.09B
30,SNY,Sanofi,137.09B,55.82,1.66%,45.85B,"2,059,619",Drug Manufacturers - General,Healthcare,7.73%,5.76B,7.95B,-10.72B
31,HON,Honeywell International Inc.,136.46B,210.34,-1.79%,38.50B,"3,253,206",Conglomerates,Industrials,5.01%,5.71B,4.93B,-21.27B
32,VRTX,Vertex Pharmaceuticals Incorporated,126.52B,492.69,-1.96%,11.02B,"1,246,811",Biotechnology,Healthcare,11.66%,-535.60M,-790.30M,9.47B
33,ADP,"Automatic Data Processing, Inc.",122.40B,300.83,-1.51%,19.90B,"1,776,942",Software - Application,Technology,7.09%,3.93B,4.56B,-2.16B
34,AMAT,"Applied Materials, Inc.",117.85B,145.06,-1.77%,27.64B,"7,707,527",Semiconductor Equipment & Materials,Technology,4.34%,6.34B,5.94B,1.63B
35,PANW,"Palo Alto Networks, Inc.",114.38B,172.76,-0.96%,8.57B,"6,235,770",Software - Infrastructure,Technology,13.86%,1.25B,2.93B,2.26B
36,ARM,Arm Holdings plc,113.62B,107.80,-4.15%,3.69B,"4,610,105",Semiconductors,Technology,25.73%,806.00M,650.00M,2.40B
37,SBUX,Starbucks Corporation,111.01B,97.73,-1.13%,36.15B,"7,713,465",Restaurants,Consumer Discretionary,-1.47%,3.52B,2.91B,-21.95B
38,MELI,"MercadoLibre, Inc.",103.83B,"2,048.07",-2.28%,20.78B,"317,480",Internet Retail,Consumer Discretionary,37.53%,1.91B,7.06B,-3.18B
39,ADI,"Analog Devices, Inc.",99.97B,201.56,-3.53%,9.34B,"3,521,362",Semiconductors,Technology,-19.29%,1.56B,3.18B,-4.90B
40,MU,"Micron Technology, Inc.",98.84B,88.44,-2.98%,31.32B,"17,050,704",Semiconductors,Technology,71.05%,4.67B,606.00M,-5.43B
41,INTC,Intel Corporation,98.33B,22.71,-3.85%,53.10B,"57,937,943",Semiconductors,Technology,-2.08%,-18.76B,-15.66B,-27.80B
42,CME,CME Group Inc.,94.50B,262.22,0.14%,6.12B,"1,671,812",Financial Data & Stock Exchanges,Financials,9.90%,3.48B,3.60B,-815.80M
43,LRCX,Lam Research Corporation,93.21B,72.61,-2.94%,16.21B,"9,532,655",Semiconductor Equipment & Materials,Technology,13.22%,4.29B,4.05B,683.10M
44,APP,AppLovin Corporation,92.60B,272.38,4.08%,4.71B,"15,389,928",Software - Application,Technology,43.44%,1.58B,2.09B,-2.81B
45,KLAC,KLA Corporation,89.51B,673.60,-3.77%,10.85B,"989,441",Semiconductor Equipment & Materials,Technology,12.16%,3.21B,3.36B,-2.29B
46,CRWD,"CrowdStrike Holdings, Inc.",88.52B,357.11,-2.58%,3.95B,"3,422,346",Software - Infrastructure,Technology,29.39%,-19.27M,1.13B,3.53B
47,MDLZ,"Mondelez International, Inc.",87.60B,67.72,0.33%,36.44B,"11,562,468",Confectioners,Consumer Staples,1.18%,4.61B,3.52B,-17.19B
48,CTAS,Cintas Corporation,82.03B,203.22,-1.47%,10.14B,"1,684,775",Specialty Business Services,Industrials,7.79%,1.77B,1.83B,-2.45B
49,ORLY,"O'Reilly Automotive, Inc.",80.67B,"1,408.55",-1.06%,16.71B,"402,988",Specialty Retail,Consumer Discretionary,5.67%,2.39B,2.03B,-7.73B
50,EQIX,"Equinix, Inc.",78.16B,803.00,-2.70%,8.74B,"896,479",REIT - Specialty,Real Estate,6.59%,815.00M,-,-15.88B
51,TRI,Thomson Reuters Corporation,77.09B,171.01,-0.97%,7.26B,"293,900",Specialty Business Services,Industrials,6.83%,2.21B,1.85B,-1.09B
52,DASH,"DoorDash, Inc.",76.71B,182.61,-5.88%,10.72B,"4,376,080",Internet Content & Information,Communication Services,24.17%,123.00M,2.03B,5.64B
53,MSTR,MicroStrategy Incorporated,75.38B,289.41,-10.84%,463.46M,"20,959,346",Software - Application,Technology,-6.61%,-1.17B,-66.51M,-7.22B
54,ABNB,"Airbnb, Inc.",74.99B,120.69,-3.95%,11.10B,"3,994,169",Travel Services,Consumer Discretionary,11.95%,2.65B,4.52B,8.32B
55,FTNT,"Fortinet, Inc.",74.28B,96.60,-2.95%,5.96B,"4,499,215",Software - Infrastructure,Technology,12.27%,1.75B,1.88B,2.99B
56,CDNS,"Cadence Design Systems, Inc.",70.36B,256.69,-2.23%,4.64B,"1,244,545",Software - Application,Technology,13.48%,1.06B,1.12B,158.03M
57,REGN,"Regeneron Pharmaceuticals, Inc.",68.21B,637.36,0.24%,14.20B,"535,903",Biotechnology,Healthcare,8.27%,4.41B,3.66B,14.97B
58,SNPS,"Synopsys, Inc.",67.72B,437.95,-1.86%,6.07B,"938,357",Software - Infrastructure,Technology,8.51%,2.11B,1.30B,3.14B
59,MAR,"Marriott International, Inc.",65.34B,237.01,-3.04%,6.62B,"1,570,645",Lodging,Consumer Discretionary,5.05%,2.38B,1.97B,-14.95B
60,NTES,"NetEase, Inc.",65.29B,100.72,-1.01%,14.43B,"668,651",Electronic Gaming & Multimedia,Communication Services,1.77%,4.07B,5.29B,17.17B
61,PYPL,"PayPal Holdings, Inc.",64.45B,65.15,-5.39%,31.80B,"16,489,916",Credit Services,Financials,6.81%,4.15B,6.77B,-1.03B
62,CEG,Constellation Energy Corporation,64.35B,205.39,-1.82%,23.57B,"5,569,593",Utilities - Renewable,Utilities,-5.42%,3.75B,-5.06B,-5.97B
63,WDAY,"Workday, Inc.",63.52B,238.49,-2.48%,8.45B,"1,888,571",Software - Application,Technology,16.35%,526.00M,2.19B,4.66B
64,ROP,"Roper Technologies, Inc.",62.57B,582.64,-1.67%,7.04B,"816,104",Software - Application,Technology,13.94%,1.55B,2.33B,-7.64B
65,JD,"JD.com, Inc.",60.35B,41.58,-3.05%,158.76B,"6,536,431",Internet Retail,Consumer Discretionary,6.84%,5.67B,-,19.76B
66,CHTR,"Charter Communications, Inc.",58.48B,369.02,-3.40%,55.09B,"1,131,552",Telecom Services,Communication Services,0.88%,5.08B,3.16B,-96.72B
67,TEAM,Atlassian Corporation,57.11B,217.99,-2.09%,4.79B,"2,410,099",Software - Application,Technology,23.19%,-346.14M,1.38B,1.22B
68,AEP,"American Electric Power Company, Inc.",56.96B,106.96,1.72%,19.72B,"6,173,343",Utilities - Regulated Electric,Utilities,3.89%,2.97B,-1.37B,-45.58B
69,MNST,Monster Beverage Corporation,56.31B,57.86,-1.23%,7.49B,"4,464,444",Beverages - Non-Alcoholic,Consumer Staples,4.94%,1.51B,1.66B,1.10B
70,ADSK,"Autodesk, Inc.",55.73B,261.63,-3.03%,6.13B,"1,233,244",Software - Application,Technology,11.53%,1.11B,1.57B,-406.00M
71,CSX,CSX Corporation,55.15B,29.11,-2.71%,14.54B,"8,738,490",Railroads,Industrials,-0.80%,3.47B,2.72B,-18.18B
72,PAYX,"Paychex, Inc.",54.40B,151.03,-0.53%,5.44B,"2,419,573",Software - Application,Technology,4.35%,1.74B,1.61B,737.30M
